,jd,mag,mag_unc,filter,limmag,programid
0,2459384.7185648,99.0,99.0,g,20.5371114105169,2.0
1,2459384.8333218,99.0,99.0,r,20.8459287317216,2.0
2,2459384.8752662,99.0,99.0,r,17.7029061132222,2.0
3,2459385.7476736,99.0,99.0,r,20.9439632236993,2.0
4,2459385.822581,99.0,99.0,g,20.6081099322395,2.0
5,2459385.8437731,99.0,99.0,r,20.6782062649004,2.0
6,2459386.7072338,99.0,99.0,r,20.5259000751758,2.0
7,2459386.7593403,99.0,99.0,i,20.279455516972,2.0
8,2459386.7773611,99.0,99.0,g,20.6247175965636,2.0
9,2459386.8069329,99.0,99.0,g,20.5333769280425,2.0
10,2459386.8073958,99.0,99.0,g,20.5251546949942,3.0
11,2459386.8897106,99.0,99.0,r,20.8376956398267,2.0
12,2459386.9527778,99.0,99.0,g,21.1152416986224,2.0
13,2459387.7911227,99.0,99.0,g,20.4194838909975,2.0
14,2459387.9284028,99.0,99.0,r,20.5515216733689,2.0
15,2459390.7251389,19.8632009031521,0.128752913293544,g,20.4306940307178,2.0
16,2459390.7748032,19.8133436851195,0.131321647817597,r,20.3593886652175,2.0
17,2459390.8952199,19.8861018976076,0.119905531510047,r,20.5308896403598,2.0
18,2459390.9169792,20.2030047292301,0.225722913404512,i,20.1609514006443,2.0
19,2459390.9579282,19.7775414755215,0.16234159304903,g,20.0933527562138,2.0
20,2459391.7287616,19.9184297288699,0.13630028984291,g,20.4240735695514,2.0
21,2459391.7694907,20.3180923886158,0.185063773401895,r,20.4916746450259,2.0
22,2459391.8268634,20.1278004960138,0.132642594373114,r,20.6629787658316,2.0
